Name;RG;StrasseHausnummer;PLZ;Ort;Land;AdresseVoll;Latitude;Longitude
BAR002;BAR;Neuer Kamp 31;20359;Hamburg;DE;Neuer Kamp 31, 20359 Hamburg, DE;53.5563609;9.9661764
BAR014;BAR;Schreyerring 6;22309;Hamburg;DE;Schreyerring 6, 22309 Hamburg, DE;53.6116231;10.0584946
BAR030;BAR;Schiffbeker Weg 27;22111;Hamburg;DE;Schiffbeker Weg 27, 22111 Hamburg, DE;53.5428720;10.1014295
BAR031;BAR;Querkamp 69;22119;Hamburg;DE;Querkamp 69, 22119 Hamburg, DE;53.5573753;10.1029148
BAR062;BAR;Lohkampstraße 11-25;22523;Hamburg;DE;Lohkampstraße 11-25, 22523 Hamburg, DE;53.6119517;9.8929412
DAT002;DAT;Schützenstraße 144-146;44147;Dortmund;DE;Schützenstraße 144-146, 44147 Dortmund, DE;51.5270353;7.4518497
DAT015;DAT;Bornstraße 160;44145;Dortmund;DE;Bornstraße 160, 44145 Dortmund, DE;51.5305659;7.4711824
DAT060;DAT;Joachimstraße 4;44147;Dortmund;DE;Joachimstraße 4, 44147 Dortmund, DE;51.5114798;7.4339498
DAT082;DAT;Castroper Straße 206;44791;Bochum;DE;Castroper Straße 206, 44791 Bochum, DE;51.4909376;7.2432567
DAT084;DAT;Unterstraße 52-58;44892;Bochum;DE;Unterstraße 52-58, 44892 Bochum, DE;51.4721768;7.3142237
DAT090;DAT;Höntroper Straße 67;44869;Bochum;DE;Höntroper Straße 67, 44869 Bochum, DE;51.4593782;7.1574615
GRO012;GRO;Potsdamer Straße 180;10783;Berlin;DE;Potsdamer Straße 180, 10783 Berlin, DE;52.4938943;13.3607643
GRO086;GRO;Wilmersdorfer Straße 36-37;10625;Berlin;DE;Wilmersdorfer Straße 36-37, 10625 Berlin, DE;52.5121281;13.3048910
HER003;HER;Amtmann-Ibing-Straße 9;44805;Bochum;DE;Amtmann-Ibing-Straße 9, 44805 Bochum, DE;51.5183328;7.2811049
HER013;HER;Dorstener Straße 263-265;44653;Herne;DE;Dorstener Straße 263-265, 44653 Herne, DE;51.5328708;7.1853742
HER018;HER;Steeler Straße 187;45138;Essen;DE;Steeler Straße 187, 45138 Essen, DE;51.4496941;7.0349285
HER022;HER;Horster Straße 41;45897;Gelsenkirchen;DE;Horster Straße 41, 45897 Gelsenkirchen, DE;51.5755175;7.0499382
HER026;HER;Zechenstraße 1;46284;Dorsten;DE;Zechenstraße 1, 46284 Dorsten, DE;51.6719676;6.9814397
HER032;HER;Katernberger Straße 48-50;45327;Essen;DE;Katernberger Straße 48-50, 45327 Essen, DE;51.4981976;7.0490317
HER039;HER;Donnerstraße 228-240;45359;Essen;DE;Donnerstraße 228-240, 45359 Essen, DE;51.4876358;6.9237490
HER044;HER;Buersche Straße 83;45964;Gladbeck;DE;Buersche Straße 83, 45964 Gladbeck, DE;51.5788891;7.0051078
HER045;HER;Wulfener Markt 350;46286;Dorsten;DE;Wulfener Markt 350, 46286 Dorsten, DE;51.7259799;7.0268200
HER046;HER;Horster Straße 55b;45964;Gladbeck;DE;Horster Straße 55b, 45964 Gladbeck, DE;51.5695551;6.9959566
HER047;HER;Natorpstraße 26-30;45139;Essen;DE;Natorpstraße 26-30, 45139 Essen, DE;51.4563219;7.0251926
HER051;HER;Altendorfer Straße 226;45143;Essen;DE;Altendorfer Straße 226, 45143 Essen, DE;51.4600783;6.9852380
HER058;HER;Frintroper Straße 422;45359;Essen;DE;Frintroper Straße 422, 45359 Essen, DE;51.4750308;6.9142859
HER064;HER;Kurt-Schumacher-Straße 192;45881;Gelsenkirchen;DE;Kurt-Schumacher-Straße 192, 45881 Gelsenkirchen, DE;51.5373123;7.0724013
HER069;HER;Erler Straße 28;46286;Dorsten;DE;Erler Straße 28, 46286 Dorsten, DE;51.7519922;6.9326416
HER071;HER;Wilhelm-Nieswandt-Allee 198;45326;Essen;DE;Wilhelm-Nieswandt-Allee 198, 45326 Essen, DE;51.5027470;7.0096739
HER072;HER;Lierfeldstraße 5;45326;Essen;DE;Lierfeldstraße 5, 45326 Essen, DE;51.4845914;7.0100702
HER075;HER;Am Dördelmannshof 6;45886;Gelsenkirchen;DE;Am Dördelmannshof 6, 45886 Gelsenkirchen, DE;51.4922887;7.1260938
HER076;HER;Rüttenscheider Straße 62-64;45130;Essen;DE;Rüttenscheider Straße 62-64, 45130 Essen, DE;51.4392027;7.0059969
HER088;HER;Twentmannstraße 7-11;45141;Essen;DE;Twentmannstraße 7-11, 45141 Essen, DE;51.4765800;7.0317728
HER090;HER;Feilenstraße 3;45141;Essen;DE;Feilenstraße 3, 45141 Essen, DE;51.4721262;6.9994596
HER099;HER;Kaiserstraße 1a;45699;Herten;DE;Kaiserstraße 1a, 45699 Herten, DE;51.5999311;7.1498201
HER100;HER;Willy-Brandt-Platz 7;45127;Essen;DE;Willy-Brandt-Platz 7, 45127 Essen, DE;51.4525563;7.0128870
HES001;HES;Gökerstraße 111c;26384;Wilhelmshaven;DE;Gökerstraße 111c, 26384 Wilhelmshaven, DE;53.5292906;8.1258795
HES004;HES;Rüderstraße 3A;26382;Wilhelmshaven;DE;Rüderstraße 3A, 26382 Wilhelmshaven, DE;53.5157636;8.1014403
HES012;HES;Lookvenne 12;26721;Emden;DE;Lookvenne 12, 26721 Emden, DE;53.3671097;7.2023318
HES013;HES;Cloppenburger Straße 293;26133;Oldenburg;DE;Cloppenburger Straße 293, 26133 Oldenburg, DE;53.1132606;8.2124162
HES015;HES;Posener Straße 91;26388;Wilhelmshaven;DE;Posener Straße 91, 26388 Wilhelmshaven, DE;53.5739573;8.0847384
HES018;HES;Werftstraße 161;26382;Wilhelmshaven;DE;Werftstraße 161, 26382 Wilhelmshaven, DE;53.5282076;8.0989537
